"year","ten_digit","region","province","muniCity","dot_region","dot_province","dot_municity","total","correspondence_code","pop_2020","id","traveler","count"
2019,105522000,"Region I (Ilocos Region)","Pangasinan","Lingayen","Region I  (ILOCOS REGION)","Pangasinan","Lingayen",140097,15522000,107728,"015522000","overseas",NA
2019,105522000,"Region I (Ilocos Region)","Pangasinan","Lingayen","Region I  (ILOCOS REGION)","Pangasinan","Lingayen",140097,15522000,107728,"015522000","domestic",139668
2019,105533000,"Region I (Ilocos Region)","Pangasinan","San Fabian","Region I  (ILOCOS REGION)","Pangasinan","San Fabian",25364,15533000,87428,"015533000","foreign",21
2019,105533000,"Region I (Ilocos Region)","Pangasinan","San Fabian","Region I  (ILOCOS REGION)","Pangasinan","San Fabian",25364,15533000,87428,"015533000","overseas",NA
2019,105533000,"Region I (Ilocos Region)","Pangasinan","San Fabian","Region I  (ILOCOS REGION)","Pangasinan","San Fabian",25364,15533000,87428,"015533000","domestic",25343
2019,105539000,"Region I (Ilocos Region)","Pangasinan","Santa Maria","Region I  (ILOCOS REGION)","Pangasinan","Santa Maria",943,15539000,34220,"015539000","foreign",6
2019,105539000,"Region I (Ilocos Region)","Pangasinan","Santa Maria","Region I  (ILOCOS REGION)","Pangasinan","Santa Maria",943,15539000,34220,"015539000","overseas",NA
2019,105539000,"Region I (Ilocos Region)","Pangasinan","Santa Maria","Region I  (ILOCOS REGION)","Pangasinan","Santa Maria",943,15539000,34220,"015539000","domestic",937
2019,105546000,"Region I (Ilocos Region)","Pangasinan","Urdaneta City","Region I  (ILOCOS REGION)","Pangasinan","Urdaneta City",88247,15546000,144577,"015546000","foreign",779
2019,105546000,"Region I (Ilocos Region)","Pangasinan","Urdaneta City","Region I  (ILOCOS REGION)","Pangasinan","Urdaneta City",88247,15546000,144577,"015546000","overseas",NA
2019,105546000,"Region I (Ilocos Region)","Pangasinan","Urdaneta City","Region I  (ILOCOS REGION)","Pangasinan","Urdaneta City",88247,15546000,144577,"015546000","domestic",87468
2019,105547000,"Region I (Ilocos Region)","Pangasinan","Villasis","Region I  (ILOCOS REGION)","Pangasinan","Villasis",3621,15547000,65047,"015547000","foreign",113
2019,105547000,"Region I (Ilocos Region)","Pangasinan","Villasis","Region I  (ILOCOS REGION)","Pangasinan","Villasis",3621,15547000,65047,"015547000","overseas",NA
2019,105547000,"Region I (Ilocos Region)","Pangasinan","Villasis","Region I  (ILOCOS REGION)","Pangasinan","Villasis",3621,15547000,65047,"015547000","domestic",3508
2019,201529000,"Region II (Cagayan Valley)","Cagayan","Tuguegarao City","Region II  (CAGAYAN VALLEY)","Cagayan","Tuguegarao City",143256,21529000,166334,"021529000","foreign",2687
2019,201529000,"Region II (Cagayan Valley)","Cagayan","Tuguegarao City","Region II  (CAGAYAN VALLEY)","Cagayan","Tuguegarao City",143256,21529000,166334,"021529000","overseas",27
2019,201529000,"Region II (Cagayan Valley)","Cagayan","Tuguegarao City","Region II  (CAGAYAN VALLEY)","Cagayan","Tuguegarao City",143256,21529000,166334,"021529000","domestic",140542
2019,203108000,"Region II (Cagayan Valley)","Isabela","Cauayan City","Region II  (CAGAYAN VALLEY)","Isabela","Cauayan City",113337,23108000,143403,"023108000","foreign",1994
2019,203108000,"Region II (Cagayan Valley)","Isabela","Cauayan City","Region II  (CAGAYAN VALLEY)","Isabela","Cauayan City",113337,23108000,143403,"023108000","overseas",NA
2019,203108000,"Region II (Cagayan Valley)","Isabela","Cauayan City","Region II  (CAGAYAN VALLEY)","Isabela","Cauayan City",113337,23108000,143403,"023108000","domestic",111343
2019,203114000,"Region II (Cagayan Valley)","Isabela","Ilagan City","Region II  (CAGAYAN VALLEY)","Isabela","Ilagan City",30754,23114000,158218,"023114000","foreign",315
2019,203114000,"Region II (Cagayan Valley)","Isabela","Ilagan City","Region II  (CAGAYAN VALLEY)","Isabela","Ilagan City",30754,23114000,158218,"023114000","overseas",20
2019,203114000,"Region II (Cagayan Valley)","Isabela","Ilagan City","Region II  (CAGAYAN VALLEY)","Isabela","Ilagan City",30754,23114000,158218,"023114000","domestic",30419
2019,203135000,"Region II (Cagayan Valley)","Isabela","Santiago City","Region II  (CAGAYAN VALLEY)","Isabela","Santiago City",184524,23135000,148580,"023135000","foreign",2397
2019,203135000,"Region II (Cagayan Valley)","Isabela","Santiago City","Region II  (CAGAYAN VALLEY)","Isabela","Santiago City",184524,23135000,148580,"023135000","overseas",NA
2019,203135000,"Region II (Cagayan Valley)","Isabela","Santiago City","Region II  (CAGAYAN VALLEY)","Isabela","Santiago City",184524,23135000,148580,"023135000","domestic",182127
2019,300800000,"Region III (Central Luzon)","Bataan","Bataan","Region III  (CENTRAL LUZON)","Bataan","",397849,30800000,853373,"030800000","foreign",11034
2019,300800000,"Region III (Central Luzon)","Bataan","Bataan","Region III  (CENTRAL LUZON)","Bataan","",397849,30800000,853373,"030800000","overseas",NA
2019,300800000,"Region III (Central Luzon)","Bataan","Bataan","Region III  (CENTRAL LUZON)","Bataan","",397849,30800000,853373,"030800000","domestic",386815
2019,304900000,"Region III (Central Luzon)","Nueva Ecija","Nueva Ecija","Region III  (CENTRAL LUZON)","Nueva Ecija","",316730,34900000,2310134,"034900000","foreign",13959
2019,304900000,"Region III (Central Luzon)","Nueva Ecija","Nueva Ecija","Region III  (CENTRAL LUZON)","Nueva Ecija","",316730,34900000,2310134,"034900000","overseas",NA
2019,304900000,"Region III (Central Luzon)","Nueva Ecija","Nueva Ecija","Region III  (CENTRAL LUZON)","Nueva Ecija","",316730,34900000,2310134,"034900000","domestic",302771
2019,305400000,"Region III (Central Luzon)","Pampanga","Pampanga","Region III  (CENTRAL LUZON)","Pampanga","",910666,35400000,2437709,"035400000","foreign",411154
2019,305400000,"Region III (Central Luzon)","Pampanga","Pampanga","Region III  (CENTRAL LUZON)","Pampanga","",910666,35400000,2437709,"035400000","overseas",NA
2019,305400000,"Region III (Central Luzon)","Pampanga","Pampanga","Region III  (CENTRAL LUZON)","Pampanga","",910666,35400000,2437709,"035400000","domestic",499512
